electricity_facility [W],gas_facility [W]
8595.401341,5802.052396
8375.281923,5546.626581
8183.781864,5294.199557
8020.915002,5084.085431
7864.64508,4882.619042
7708.178774,4644.981316
7616.442779,4407.782083
7530.872146,4173.087511
7471.579909,3942.225977
7419.623281,3724.768839
7370.103935,3563.920461
7320.547612,3423.196906
7266.007774,3280.889839
7239.740789,3100.529338
7226.642896,2870.918732
7192.608939,2642.592473
7119.5968,2442.720804
7004.640133,2259.467848
6884.136485,2067.627648
6796.561289,1856.779483
6733.8719,1630.439071
6728.805266,1324.568615
6722.145791,1032.327232
6715.870243,765.4685652
6714.292092,634.086947
6713.287193,571.0079864
6712.062848,644.1938521
6717.275971,573.4572096
4736.986245,808.8239273
4972.258999,1362.33161
5540.513751,1850.161906
5935.0392,2081.966667
5922.901151,2312.82142
6468.046334,2563.150448
6781.441322,2801.172044
7057.035142,2922.095969
7281.101607,2980.29409
7460.672309,3043.180027
7610.219207,3104.074289
7735.913527,3158.325685
7552.632345,3202.984446
7658.112646,3304.947719
7745.394018,3375.865415
7816.756219,3416.197262
7884.128671,3458.387819
7945.076195,3504.199905
8003.703383,3549.819572
8056.324112,3593.337381
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
18228.06717,16134.03216
17265.438,9525.649526
15709.00573,8556.716947
13792.97118,8102.29899
12970.94329,7668.761463
12464.86755,7435.480309
12088.63693,7237.768601
11189.48658,6940.392775
10811.45424,6623.237923
9975.480667,6318.537793
9368.071534,6114.314347
8690.167998,5923.592669
8090.740794,5720.432815
7536.082852,5522.124885
7217.859123,5325.777276
6994.645132,5176.857216
6824.396132,4923.455988
6697.401734,4701.872034
6493.606881,4493.845386
6249.349578,4280.907348
5974.194057,4056.96968
5741.68306,3819.932311
5548.894492,3573.767977
5361.604268,3316.437476
4669.141771,3056.274422
4521.481166,2878.33558
4431.498351,2672.259805
4373.876425,2432.452181
4336.244124,2236.785188
4313.292797,2044.194317
4278.461532,1856.21182
4216.545553,1673.639303
4124.570661,1499.501263
3999.876613,1323.714182
3877.766138,1141.924246
3772.666654,954.2238993
3694.164445,768.0043244
3642.425524,601.2548204
3619.007529,456.7987086
3666.258851,335.7166829
3755.954366,359.3887864
3861.352448,417.6257736
4014.302105,499.1771926
4267.045393,598.62945
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
18609.15752,15898.60865
19117.2208,8306.131916
16920.8562,7026.390484
15620.47447,6812.267598
14940.80954,6539.068959
14245.60784,6018.285739
13751.01003,5802.819316
13192.08911,5612.65005
14155.99838,5252.642345
13606.86998,4787.798057
13126.86862,4573.634171
12679.5045,4406.526497
12261.91546,4236.035184
11865.2904,4083.449446
11387.08557,3937.539842
10924.45719,3796.44242
10402.86857,3585.712616
9927.06697,3374.092226
9523.888768,3165.134292
9131.705208,2960.435865
8791.206922,2764.131513
8551.723674,2596.80085
8299.50769,2429.068915
8063.781696,2226.365465
7993.222832,2000.36947
7779.614501,1764.000683
7619.57315,1548.372558
7476.148905,1339.783464
7317.437884,1158.743645
7231.402241,983.8319996
7163.407061,784.8785917
7087.859943,589.4878414
6989.437531,407.2831255
6890.03262,210.7369972
6797.986998,0
6727.703751,0
6687.468435,0
6676.369464,0
6680.300772,0
6692.376446,0
6725.95178,0
6834.092429,0
6890.741329,0
